;,,,,,,,,,,,,,
TABLE RetlLrgCECStd22090012TrmlUnit,,,,,,,,,,,,,
Side_Shelving_East_CoilClg,BaseSys7or3b CoilClg-8,DirectExpansion,BaseAirSys7or3b-8,n/a,450038.114,469529.537,-99996,-99996,9.5,2,,,
Side_Shelving_West_CoilClg,BaseSys7or3b CoilClg-9,DirectExpansion,BaseAirSys7or3b-9,n/a,447219.947,466589.314,-99996,-99996,9.5,2,,,
Side_Storage_1_CoilClg,BaseSys7or3b CoilClg-10,DirectExpansion,BaseAirSys7or3b-10,n/a,231038.39,241044.803,-99996,-99996,10.6,2,,,
Side_Storage_2_CoilClg,BaseSys7or3b CoilClg-11,DirectExpansion,BaseAirSys7or3b-11,n/a,126497.647,131976.337,-99996,-99996,11,2,,,
ENDTABLE,,,,,,,,,,,,,
TABLE RetlLrgCECStd22090012CoilHtg,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,,
Back_Office_CoilHtg,BaseSys7or3b CoilHtg,HeatPump,BaseAirSys7or3b,n/a,109947.134,105564.855,0,-99996,-99996,,,,
Back_Shelving/Refrig_CoilHtg,BaseSys7or3b CoilHtg-2,HeatPump,BaseAirSys7or3b-2,n/a,386834.149,371415.693,0,-99996,-99996,,,,
Back_Storage_CoilHtg,BaseSys7or3b CoilHtg-3,HeatPump,BaseAirSys7or3b-3,n/a,275040.847,264078.254,0,-99996,-99996,,,,
Main_Entry_CoilHtg,BaseSys7or3b CoilHtg-4,HeatPump,BaseAirSys7or3b-4,n/a,311192.832,298789.292,0,-99996,-99996,,,,
Registers/Aisle_CoilHtg,BaseSys7or3b CoilHtg-5,HeatPump,BaseAirSys7or3b-5,n/a,494730.578,475011.58,0,-99996,-99996,,,,
Side_Entry_1_CoilHtg,BaseSys7or3b CoilHtg-6,HeatPump,BaseAirSys7or3b-6,n/a,290943.68,279347.231,0,-99996,-99996,,,,
Side_Entry_2_CoilHtg,BaseSys7or3b CoilHtg-7,HeatPump,BaseAirSys7or3b-7,n/a,298115.798,286233.483,0,-99996,-99996,,,,
Side_Shelving_East_CoilHtg,BaseSys7or3b CoilHtg-8,HeatPump,BaseAirSys7or3b-8,n/a,489020.96,469529.537,0,-99996,-99996,,,,
Side_Shelving_West_CoilHtg,BaseSys7or3b CoilHtg-9,HeatPump,BaseAirSys7or3b-9,n/a,485958.681,466589.314,0,-99996,-99996,,,,
Side_Storage_1_CoilHtg,BaseSys7or3b CoilHtg-10,HeatPump,BaseAirSys7or3b-10,n/a,251051.216,241044.803,0,-99996,-99996,,,,
Side_Storage_2_CoilHtg,BaseSys7or3b CoilHtg-11,HeatPump,BaseAirSys7or3b-11,n/a,137455.026,131976.337,0,-99996,-99996,,,,
Back_Office_SuppCoilHtg,BaseSys7or3b SuppCoilHtg,Resistance,BaseAirSys7or3b,n/a,78589.175,78589.175,0,-99996,-99996,,,,
Back_Shelving/Refrig_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-2,Resistance,BaseAirSys7or3b-2,n/a,348938.866,348938.866,0,-99996,-99996,,,,
Back_Storage_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-3,Resistance,BaseAirSys7or3b-3,n/a,248200.5,248200.5,0,-99996,-99996,,,,
Main_Entry_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-4,Resistance,BaseAirSys7or3b-4,n/a,317783.925,317783.925,0,-99996,-99996,,,,
Registers/Aisle_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-5,Resistance,BaseAirSys7or3b-5,n/a,441499.259,441499.259,0,-99996,-99996,,,,
Side_Entry_1_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-6,Resistance,BaseAirSys7or3b-6,n/a,316476.325,316476.325,0,-99996,-99996,,,,
Side_Entry_2_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-7,Resistance,BaseAirSys7or3b-7,n/a,321505.488,321505.488,0,-99996,-99996,,,,
Side_Shelving_East_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-8,Resistance,BaseAirSys7or3b-8,n/a,438465.1,438465.1,0,-99996,-99996,,,,
Side_Shelving_West_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-9,Resistance,BaseAirSys7or3b-9,n/a,437091.063,437091.063,0,-99996,-99996,,,,
Side_Storage_1_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-10,Resistance,BaseAirSys7or3b-10,n/a,224468.025,224468.025,0,-99996,-99996,,,,
Side_Storage_2_SuppCoilHtg,BaseSys7or3b SuppCoilHtg-11,Resistance,BaseAirSys7or3b-11,n/a,107752.763,107752.763,0,-99996,-99996,,,,
ENDTABLE,,,,,,,,,,,,,
TABLE RetlLrgCECStd22090012Fan,,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),,
Back_Office_SupplyFan,BaseSys7or3b Fan,VariableSpeedDrive,BaseAirSys7or3b,n/a,3569.008,1784.504,0.65,PowerPerUnitFlow,3.684,3.187,5,InAirStream,0.895
Back_Shelving/Refrig_SupplyFan,BaseSys7or3b Fan-2,VariableSpeedDrive,BaseAirSys7or3b-2,n/a,12671.378,6335.689,0.65,PowerPerUnitFlow,3.455,10.615,15,InAirStream,0.924
Back_Storage_SupplyFan,BaseSys7or3b Fan-3,VariableSpeedDrive,BaseAirSys7or3b-3,n/a,8956.652,4478.326,0.65,PowerPerUnitFlow,3.652,7.931,10,InAirStream,0.917
Main_Entry_SupplyFan,BaseSys7or3b Fan-4,VariableSpeedDrive,BaseAirSys7or3b-4,n/a,9383.949,4691.975,0.65,PowerPerUnitFlow,3.652,8.31,10,InAirStream,0.917
Registers/Aisle_SupplyFan,BaseSys7or3b Fan-5,VariableSpeedDrive,BaseAirSys7or3b-5,n/a,16205.7,8102.85,0.65,PowerPerUnitFlow,3.455,13.576,15,InAirStream,0.924
Side_Entry_1_SupplyFan,BaseSys7or3b Fan-6,VariableSpeedDrive,BaseAirSys7or3b-6,n/a,9310.744,4655.372,0.65,PowerPerUnitFlow,3.652,8.245,10,InAirStream,0.917
Side_Entry_2_SupplyFan,BaseSys7or3b Fan-7,VariableSpeedDrive,BaseAirSys7or3b-7,n/a,9634.749,4817.375,0.65,PowerPerUnitFlow,3.652,8.532,10,InAirStream,0.917
Side_Shelving_East_SupplyFan,BaseSys7or3b Fan-8,VariableSpeedDrive,BaseAirSys7or3b-8,n/a,16018.672,8009.336,0.65,PowerPerUnitFlow,3.455,13.42,15,InAirStream,0.924
Side_Shelving_West_SupplyFan,BaseSys7or3b Fan-9,VariableSpeedDrive,BaseAirSys7or3b-9,n/a,15918.362,7959.181,0.65,PowerPerUnitFlow,3.455,13.336,15,InAirStream,0.924
Side_Storage_1_SupplyFan,BaseSys7or3b Fan-10,VariableSpeedDrive,BaseAirSys7or3b-10,n/a,9025.692,4512.846,0.65,PowerPerUnitFlow,3.652,7.992,10,InAirStream,0.917
Side_Storage_2_SupplyFan,BaseSys7or3b Fan-11,VariableSpeedDrive,BaseAirSys7or3b-11,n/a,4461.945,2230.972,0.65,PowerPerUnitFlow,3.684,3.985,5,InAirStream,0.895
ENDTABLE,,,,,,,,,,,,,
TABLE RetlLrgCECStd22090012OACtrl,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,
;,,,,,,,,,,,,,
Back_Office_OACtrl,BaseSys7or3b OACtrl,FixedDryBulb,BaseAirSys7or3b,Integrated,,,,,,,,,
Back_Shelving/Refrig_OACtrl,BaseSys7or3b OACtrl-2,FixedDryBulb,BaseAirSys7or3b-2,Integrated,,,,,,,,,
Back_Storage_OACtrl,BaseSys7or3b OACtrl-3,FixedDryBulb,BaseAirSys7or3b-3,Integrated,,,,,,,,,
Main_Entry_OACtrl,BaseSys7or3b OACtrl-4,FixedDryBulb,BaseAirSys7or3b-4,Integrated,,,,,,,,,
Registers/Aisle_OACtrl,BaseSys7or3b OACtrl-5,FixedDryBulb,BaseAirSys7or3b-5,Integrated,,,,,,,,,
Side_Entry_1_OACtrl,BaseSys7or3b OACtrl-6,FixedDryBulb,BaseAirSys7or3b-6,Integrated,,,,,,,,,
Side_Entry_2_OACtrl,BaseSys7or3b OACtrl-7,FixedDryBulb,BaseAirSys7or3b-7,Integrated,,,,,,,,,
Side_Shelving_East_OACtrl,BaseSys7or3b OACtrl-8,FixedDryBulb,BaseAirSys7or3b-8,Integrated,,,,,,,,,
Side_Shelving_West_OACtrl,BaseSys7or3b OACtrl-9,FixedDryBulb,BaseAirSys7or3b-9,Integrated,,,,,,,,,
Side_Storage_1_OACtrl,BaseSys7or3b OACtrl-10,FixedDryBulb,BaseAirSys7or3b-10,Integrated,,,,,,,,,
Side_Storage_2_OACtrl,BaseSys7or3b OACtrl-11,FixedDryBulb,BaseAirSys7or3b-11,Integrated,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,
